LINE 1271: 2019-09-08 12:58:06,073 [DEBUG   ] findfont: score(<Font '.SF Compact Text' (SFCompactText-Semibold.otf) normal normal semibold normal>) = 10.24
LINE 1271: 2019-09-08 12:58:06,073 [DEBUG   ] findfont: score(<Font 'System Font' (SFNSDisplay-ThinItalic.otf) italic normal 400 normal>) = 11.05
LINE 1271: 2019-09-08 12:58:06,073 [DEBUG   ] findfont: score(<Font 'InaiMathi' (InaiMathi-MN.ttc) normal normal 400 normal>) = 10.05
LINE 1271: 2019-09-08 12:58:06,074 [DEBUG   ] findfont: score(<Font 'Bitstream Vera Sans Mono' (VeraMoIt.ttf) oblique normal 400 normal>) = 11.05
LINE 1271: 2019-09-08 12:58:06,074 [DEBUG   ] findfont: score(<Font '.SF Compact Text' (SFCompactText-BoldItalic.otf) italic normal bold normal>) = 11.335
LINE 1271: 2019-09-08 12:58:06,074 [DEBUG   ] findfont: score(<Font 'System Font' (SFNSDisplay-LightItalic.otf) italic normal light normal>) = 11.24
LINE 1271: 2019-09-08 12:58:06,074 [DEBUG   ] findfont: score(<Font 'Bitstream Vera Sans' (VeraIt.ttf) oblique normal 400 normal>) = 1.9590909090909092
LINE 1271: 2019-09-08 12:58:06,074 [DEBUG   ] findfont: score(<Font 'Heiti TC' (STHeiti Medium.ttc) normal normal medium normal>) = 10.145
LINE 1271: 2019-09-08 12:58:06,074 [DEBUG   ] findfont: score(<Font 'Bitstream Vera Serif' (VeraSe.ttf) normal normal 400 normal>) = 10.05
LINE 1271: 2019-09-08 12:58:06,074 [DEBUG   ] findfont: score(<Font '.SF NS Text Condensed' (SFNSTextCondensed-Heavy.otf) normal normal heavy condensed>) = 10.629999999999999
LINE 1271: 2019-09-08 12:58:06,074 [DEBUG   ] findfont: score(<Font 'Bodoni 72' (Bodoni 72.ttc) normal normal book normal>) = 10.05
LINE 1271: 2019-09-08 12:58:06,074 [DEBUG   ] findfont: score(<Font 'Malayalam MN' (Malayalam MN.ttc) normal normal 400 normal>) = 10.05
LINE 1271: 2019-09-08 12:58:06,074 [DEBUG   ] findfont: score(<Font 'Palatino' (Palatino.ttc) normal normal 400 normal>) = 10.05
LINE 1271: 2019-09-08 12:58:06,074 [DEBUG   ] findfont: score(<Font 'Marker Felt' (MarkerFelt.ttc) normal normal 400 normal>) = 10.05
LINE 1271: 2019-09-08 12:58:06,074 [DEBUG   ] findfont: score(<Font 'DIN Condensed' (DIN Condensed Bold.ttf) normal normal bold condensed>) = 10.535
LINE 1271: 2019-09-08 12:58:06,074 [DEBUG   ] findfont: score(<Font 'Muna' (Muna.ttc) normal normal regular normal>) = 10.05
