	23A1	23B1	23C3	39A1	39B1	39C1	WTA1	WTB1	WTC3
b4425	0	0	0	0	0	0	1	0	0
b4426	2	7	2	5	3	2	3	5	1
b4427	0	0	0	2	0	0	0	0	1
b4428	4	2	3	6	9	4	4	1	1
b4429	2	4	3	2	5	3	5	2	0
b4430	1	0	3	1	0	0	1	1	0
b4431	0	0	0	0	1	1	0	0	1
b4432	55	30	40	431	109	162	156	88	96
b4433	79	50	59	476	136	188	168	121	114
b4435	2	5	0	1	0	4	0	1	1
b4436	25	14	12	37	22	24	29	32	15
b4437	9	3	5	9	7	7	19	11	12
b4438	1	1	1	2	1	1	1	0	3
b4439	2	0	3	1	3	1	1	3	3
b4440	11	7	10	13	9	13	16	4	22
b4441	1382	1184	690	2407	900	801	1945	2059	998
b4442	99	81	63	113	74	81	144	55	76
b4443	14	19	7	12	11	14	21	13	9
b4444	0	0	0	1	0	0	0	0	0
b4445	1	1	1	1	1	2	1	1	1
b4446	20	14	21	21	15	12	29	27	22
b4447	39	35	45	41	42	32	42	48	69
b4449	20	27	34	29	35	22	35	23	27
b4450	4	8	9	3	8	8	13	10	5
b4451	68	29	34	95	42	30	117	128	42
b4452	10	10	11	6	7	5	4	6	4
b4453	5	6	4	3	5	2	3	2	3
b4454	4	3	3	1	1	3	2	0	1
b4455	0	0	0	0	0	0	0	0	0
b4456	103	91	74	124	101	70	202	144	71
b4457	2258	1424	712	4264	1080	1460	3991	3788	908
b4458	0	2	0	0	0	0	1	2	2
b4459	27	19	20	27	15	8	21	43	16
b4460	5	14	10	15	15	13	17	7	15
b4461	46	39	44	41	43	32	52	30	49
b4462	2	5	4	2	2	2	6	3	0
b4463	2	6	2	10	6	3	2	3	2
b4464	9	13	6	2	8	4	5	5	10
b4465	4	6	2	0	5	3	2	2	6
b4466	39	57	54	30	51	35	32	19	52
b4467	7	7	14	11	13	16	10	12	12
b4468	1	5	0	1	1	5	1	2	3
b4469	21	42	39	24	25	28	15	21	26
b4470	5	5	7	0	3	3	6	3	4
b4471	3	3	5	3	2	6	6	1	3
b4472	83	79	79	85	84	70	66	71	87
b4473	60	66	56	85	92	76	75	44	75
b4474	3	3	2	2	6	5	2	2	1
b4475	4	11	5	3	12	2	6	4	4
b4476	10	7	4	10	6	8	9	8	10
b4477	0	0	0	0	0	0	1	1	0
b4478	4	7	4	6	11	8	8	6	5
b4479	11	19	18	15	21	18	14	16	15
b4480	30	30	44	93	54	54	40	26	39
b4481	19	17	27	26	24	24	16	14	17
b4482	3	7	6	0	2	3	4	2	0
b4483	14	7	13	13	9	6	11	9	14
b4484	22	39	27	33	38	28	39	38	27
b4485	4	8	1	7	3	4	1	3	4
b4486	20	36	31	43	35	33	35	19	26
b4487	4	5	3	7	1	4	2	2	1
b4488	351	454	518	321	1355	762	750	583	1388
b4490	112	96	120	143	168	180	155	65	162
b4491	14	14	5	8	15	13	10	5	7
b4492	70	114	78	123	120	104	113	67	104
b4493	635	551	446	561	557	464	709	596	475
b4494	3	5	3	1	1	3	5	6	2
b4495	1	1	1	2	1	0	3	0	0
b4496	14	8	10	25	18	15	17	6	16
b4497	2	3	0	1	3	1	4	3	2
b4498	25	11	20	25	21	24	29	16	23
b4499	12	14	7	11	12	16	12	8	9
b4500	9	16	5	18	23	15	21	11	8
b4501	8	3	10	13	10	4	20	11	9
b4502	3	2	1	5	8	5	6	3	3
b4503	1	4	0	1	3	3	1	0	3
b4504	1	2	0	0	0	0	0	2	0
b4505	7	8	3	16	7	13	14	8	5
b4506	542	560	583	708	2	2	1	540	4
b4508	1	1	1	0	0	1	1	1	1
b4509	0	0	0	0	1	0	1	1	0
b4510	0	0	0	0	0	0	0	0	0
b4511	18	53	43	34	35	33	28	28	41
b4512	10	4	7	9	11	7	7	8	5
b4513	0	0	0	0	1	1	0	0	1
b4514	0	3	2	0	1	0	1	1	1
b4515	7	5	4	10	8	12	9	1	12
b4516	4	4	2	5	4	5	6	4	8
b4517	4	7	3	4	8	5	12	2	8
b4518	40	24	24	13	20	13	2	7	17
b4519	1	0	1	1	1	1	2	1	0
b4520	2	0	2	2	3	1	3	3	1
b4521	3	2	1	2	1	1	4	2	0
b4522	16	25	18	44	34	44	47	20	22
b4523	5	16	8	18	27	35	21	8	7
b4524	0	1	1	1	2	2	1	0	2
b4525	0	3	1	1	0	3	3	1	0
b4526	0	0	0	0	0	0	0	0	1
b4527	1	1	0	0	1	1	1	1	0
b4528	0	0	0	0	0	0	0	0	0
b4529	37	32	42	11	24	29	32	21	34
b4532	10	11	11	22	7	14	12	9	9
b4533	1	0	0	0	0	0	0	2	0
b4535	1	3	1	6	3	3	2	2	0
b4536	13	13	14	12	15	19	17	16	18
b4537	7	14	17	25	18	16	28	5	19
b4538	4	2	2	3	6	4	3	3	2
b4539	10	17	12	16	7	15	16	8	13
b4541	1	2	0	0	0	0	0	1	0
b4542	8	10	5	2	5	8	7	4	6
b4543	5	10	7	8	11	10	16	12	7
b4544	3	6	0	1	1	0	0	3	1
b4545	0	0	1	3	0	1	0	0	0
b4546	11	5	10	14	8	15	11	10	9
b4547	15	10	13	10	10	14	11	10	15
b4548	0	0	1	1	0	2	0	0	0
b4550	50	33	49	66	52	36	87	34	50
b4551	15	10	18	11	16	9	14	4	16
b4552	0	0	0	0	0	0	0	0	0
b4553	10	8	5	11	4	7	6	7	7
b4554	57	44	35	30	30	34	38	37	37
b4555	9	9	6	12	6	6	14	3	4
b4556	1	4	5	4	5	5	3	2	9
b4557	5	8	6	6	5	6	0	9	4
b4558	69	37	72	66	72	76	66	37	65
b4559	1	1	2	1	1	3	4	3	1
b4561	0	2	3	4	2	3	5	0	1
b4565	1	3	0	0	0	0	1	2	0
b4566	9	2	7	11	10	5	6	5	6
b4567	101	95	96	94	145	95	211	88	130
b4568	262	217	179	226	162	127	210	179	137
b4569	2	3	7	1	9	6	9	3	4
b4570	0	4	2	2	0	1	2	0	0
b4571	85	84	89	145	142	105	185	84	86
b4572	1	3	2	1	1	1	1	2	2
b4573	4	5	2	6	2	2	2	4	4
b4575	24	16	15	19	15	11	24	13	22
b4576	0	2	3	4	4	7	6	3	6
b4577	0	0	0	0	0	0	0	2	0
b4578	26	28	17	24	30	18	18	22	22
b4579	2	3	1	2	2	1	4	0	0
b4580	27	26	27	46	44	48	61	23	38
b4581	35	31	26	30	22	41	23	19	12
b4582	9	7	5	7	19	18	14	5	13
b4585	5	6	4	7	2	4	7	1	2
b4586	0	0	0	0	0	0	2	0	0
b4587	10	13	13	15	29	15	14	12	16
b4588	0	0	0	0	0	1	0	1	0
b4589	0	0	0	0	0	0	0	0	0
b4590	1	0	0	0	0	0	0	0	0
b4592	5	3	3	1	3	1	1	1	3
b4593	1	2	0	0	1	1	3	2	1
b4594	1	1	0	3	1	0	1	1	1
b4595	18	10	8	22	15	12	31	7	16
b4596	18	22	19	74	67	66	63	19	38
b4597	3	2	13	8	5	7	11	6	2
b4598	34	25	20	47	38	32	76	33	25
b4599	40	29	16	41	24	20	46	25	18
b4600	3	10	1	13	7	9	16	4	2
b4601	0	0	1	1	0	0	1	2	0
b4602	15	7	12	11	11	7	17	14	13
b4603	0	1	0	0	0	0	0	0	0
b4604	0	0	0	1	1	0	0	0	0
b4606	1	4	7	10	3	3	14	3	6
b4608	0	0	3	3	1	0	3	0	0
b4609	136	87	91	170	105	58	105	90	124
b4611	39	37	34	93	40	25	49	80	70
b4612	1	0	0	1	0	0	1	0	1
b4613	52	35	34	52	50	34	54	56	42
b4614	1	0	0	1	0	0	0	0	0
b4615	0	0	0	0	0	0	1	0	0
b4616	1	2	0	0	0	0	0	0	0
b4618	3	7	6	10	7	10	11	9	5
b4620	3	4	3	7	10	9	4	0	1
b4621	0	0	0	0	0	1	2	0	0
b4622	0	0	1	0	1	0	1	1	0
b4623	11	11	3	14	6	6	14	5	6
b4624	8	5	5	13	10	7	9	5	3
b4625	1	0	0	0	1	1	2	0	1
b4626	0	0	1	0	1	1	1	1	0
b4627	1	3	1	1	0	3	1	1	0
b4628	0	0	1	1	1	1	0	1	0
b4629	0	1	1	0	0	0	2	0	0
b4630	0	0	0	0	0	0	0	0	0
b4631	0	0	2	1	0	1	2	0	0
b4632	2	1	0	3	1	0	4	1	1
b4633	0	1	1	0	0	2	1	0	0
b4634	1	4	1	2	1	0	0	0	0
b4635	0	0	0	0	1	0	0	0	0
b4636	0	0	0	3	0	0	4	0	0
b4637	35	45	54	73	61	54	84	33	63
b4638	3	0	0	3	0	3	5	1	0
b4639	0	3	0	1	0	1	0	0	1
b4640	1	2	2	4	6	5	3	0	2
b4641	2	3	0	2	1	1	1	0	0
b4642	3	1	0	4	0	3	0	2	0
b4643	0	1	0	0	0	0	0	0	1
b4644	1	0	0	1	0	0	1	2	0
b4645	0	0	0	2	0	0	0	0	2
b4646	1	3	4	7	4	3	1	2	4
b4647	0	0	0	0	0	0	0	0	1
b4648	0	1	0	1	0	2	2	0	1
b4649	1	0	1	2	0	0	3	1	0
b4650	0	1	1	1	1	0	0	0	0
b4651	0	1	1	1	0	1	0	2	0
b4652	0	1	0	0	0	0	3	1	0
b4653	1	2	0	0	0	0	2	0	0
b4654	0	1	0	0	1	0	0	1	0
b4655	1	0	0	1	1	1	3	0	0
b4656	37	49	31	64	57	49	51	25	33
b4657	0	3	3	5	0	5	2	3	1
b4658	30	42	25	44	34	25	44	37	16
b4659	35	24	34	26	40	31	38	24	42
b4660	2	2	0	0	0	2	3	1	0
b4661	5	10	6	13	14	10	10	11	11
b4662	0	0	0	0	0	0	0	0	0
b4663	47	53	41	114	54	47	148	65	58
b4664	34	40	42	57	35	23	30	48	63
b4665	23	15	13	13	16	6	12	20	33
b4666	48	45	41	105	56	30	59	103	81
b4667	14	20	15	58	27	20	25	28	31
b4668	4	4	5	11	9	4	7	10	13
b4669	13	21	35	21	100	55	55	27	103
b4670	3	1	2	0	0	0	4	1	1
b4671	0	3	1	1	0	0	1	1	0
b4672	2	0	1	3	0	0	1	1	2
b4673	0	0	0	0	0	0	1	0	0
b4674	0	0	0	0	0	0	0	0	0
b4675	2	4	3	3	3	0	1	1	1
b4676	2	3	4	3	2	3	3	2	10
b4677	0	0	0	1	0	0	0	0	0
b4678	2	4	0	3	5	3	5	1	2
b4679	41	30	25	41	27	15	43	31	29
b4680	1	2	1	2	6	3	2	0	0
b4682	0	0	1	0	0	0	0	0	0
b4683	0	0	0	0	0	0	1	0	0
b4684	0	0	0	0	0	1	0	0	0
b4685	4	6	3	6	7	4	7	1	7
b4686	29	30	50	48	47	44	35	17	50
b4687	11	7	9	4	1	2	1	6	1
b4688	5	2	2	2	4	6	4	2	4
b4689	0	0	0	0	0	0	0	0	0
b4690	1	0	0	1	3	1	2	0	1
b4691	46	49	25	78	59	41	100	52	53
b4692	0	1	0	1	0	0	2	0	0
b4693	0	3	4	0	2	1	3	4	1
b4694	8	2	2	2	3	4	6	2	1
b4695	0	0	0	0	0	0	0	0	0
b4696	12	34	22	22	29	19	30	14	21
b4697	1	2	1	2	2	1	4	0	4
b4698	4	6	2	4	1	4	9	3	0
b4699	0	4	1	1	4	2	4	0	3
b4700	0	0	1	0	1	0	0	0	1
b4701	0	0	0	0	0	0	0	1	0
b4702	29	19	17	18	26	15	20	21	16
b4703	6	6	5	7	7	8	3	3	7
b4704	6	3	5	6	7	4	10	1	4
